item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T25,2753212,45048,X,40734,24089,285557,39744,33585,6645,4717,165449,117406,356,11325,127569,261793,13726,28036,14038,5389,10267,26923,74816,55380,48774,17343,14060,7547,10433,19725,7836,53070,5004,141385,109255,4766,71277,29677,41345,77883,5417,4711,4912,60475,155619,24475,14778,138837,104615,143600,39578,4223
T27,1213651,19464,8978,0,8628,628587,13309,X,531,X,23982,X,17491,62471,11823,X,11062,5698,X,7315,X,X,X,32263,642,6863,17979,12,X,X,24138,21565,1710,37088,18943,5,23015,5,16361,62800,2440,13740,X,5937,20880,X,X,635,20778,340,66173,X
T28,16195455,67867,71637,205639,127333,5854119,52221,56326,127014,69827,164729,79211,41278,56451,426818,37700,138016,101828,134316,108312,116668,195835,320192,256843,520132,81397,180685,175531,34767,255310,192402,538792,48307,122849,335928,77968,860701,882,408917,1129790,69691,124334,134857,381875,579589,58401,29028,213191,379875,40541,366313,43222
T29,1577298,1,0,2104,844,27002,45,4268,11561,52945,11088,30596,13268,3943,35517,77700,3194,2697,4907,4640,11247,1728,274932,163451,66784,65262,82109,14310,951,7037,2499,1852,0,863,47059,0,46432,1002,6881,20750,6261,19034,25886,8435,151336,7345,10464,65208,171073,3508,7279,0
T40,388006995,4274052,X,4530410,2914939,84412243,7539184,8177456,1685848,2377236,X,11704328,2359093,1913459,17956356,8303278,3960027,3380030,4831399,3916190,1843459,10698876,17414713,9029493,10923158,1861263,5901668,1338737,2445647,X,122631,15412766,1227926,53659401,12505906,376864,8284983,3364947,8635668,12372183,1241856,5095531,X,57642,X,3734504,762641,14996649,X,1947946,8514409,X
T41,52896526,754272,162611,523062,469029,9817957,696612,2062263,244913,727697,2481710,984087,43679,245969,3491688,756866,620486,433931,639200,450449,216131,1325456,2532411,812842,1604450,421425,364460,186297,391164,X,780672,3565191,95556,4824289,662343,81490,3683,301574,892484,2510056,213303,505025,37459,1504881,X,360203,141623,1362172,X,151989,1441416,X
T50,5102727,X,X,0,X,282,X,146650,211,37249,0,0,45451,X,301768,139,76275,0,48250,X,21079,197169,699555,0,148779,0,8,X,X,X,X,436756,X,1070166,1279,X,76,0,113796,1051259,56325,X,X,0,X,X,15168,81,634915,X,41,0
T51,11009137,60391,X,18830,51505,X,X,175028,186158,452739,3317815,0,61110,X,76935,X,23334,0,3491,X,41525,227050,356284,404871,317509,X,13530,X,18581,108061,152084,544460,X,1278846,94719,X,X,21457,1957,636662,13549,136197,181,304090,X,X,39775,554295,1226500,12188,77430,X
T53,11546995,33403,609307,12704,28962,110000,147878,X,X,X,28678,X,X,5781,X,852,X,32412,109176,447026,X,X,X,14983,56358,36507,1,173824,2396,122449,X,X,1415606,X,1724,2086801,66642,829238,15521,X,X,X,5881,828,4273807,53188,X,2042,38408,267049,11990,505573
T99,3327343,0,X,128880,54332,0,0,271,1223,58484,X,152391,0,2730,0,0,0,X,0,0,0,256141,0,0,53334,0,89,4090,0,642603,0,0,54253,1676698,0,0,0,83629,0,35619,0,0,815,15872,0,146,5670,72541,8,7144,14606,5774
